Country,Category,Number
Brazil,Winner,5
Germany,Winner,4
Italy,Winner,4
Argentina,Winner,2
Uruguay,Winner,2
France,Winner,1
England,Winner,1
Spain,Winner,1
Netherlands,Winner,0
Czechoslovakia,Winner,0
Hungary,Winner,0
Sweden,Winner,0
Poland,Winner,0
Austria,Winner,0
Portugal,Winner,0
Chile,Winner,0
Croatia,Winner,0
Turkey,Winner,0
USA,Winner,0
Yugoslavia,Winner,0
Belgium,Winner,0
Bulgaria,Winner,0
Korea Republic,Winner,0
Soviet Union,Winner,0
Brazil,Runners-Up,2
Germany,Runners-Up,4
Italy,Runners-Up,2
Argentina,Runners-Up,3
Uruguay,Runners-Up,0
France,Runners-Up,1
England,Runners-Up,0
Spain,Runners-Up,0
Netherlands,Runners-Up,3
Czechoslovakia,Runners-Up,2
Hungary,Runners-Up,2
Sweden,Runners-Up,1
Poland,Runners-Up,0
Austria,Runners-Up,0
Portugal,Runners-Up,0
Chile,Runners-Up,0
Croatia,Runners-Up,0
Turkey,Runners-Up,0
USA,Runners-Up,0
Yugoslavia,Runners-Up,0
Belgium,Runners-Up,0
Bulgaria,Runners-Up,0
Korea Republic,Runners-Up,0
Soviet Union,Runners-Up,0
Brazil,Third,2
Germany,Third,4
Italy,Third,1
Argentina,Third,0
Uruguay,Third,0
France,Third,2
England,Third,0
Spain,Third,0
Netherlands,Third,1
Czechoslovakia,Third,0
Hungary,Third,0
Sweden,Third,2
Poland,Third,2
Austria,Third,1
Portugal,Third,1
Chile,Third,1
Croatia,Third,1
Turkey,Third,1
USA,Third,1
Yugoslavia,Third,0
Belgium,Third,0
Bulgaria,Third,0
Korea Republic,Third,0
Soviet Union,Third,0
Brazil,Fourth,2
Germany,Fourth,1
Italy,Fourth,1
Argentina,Fourth,0
Uruguay,Fourth,3
France,Fourth,1
England,Fourth,1
Spain,Fourth,1
Netherlands,Fourth,1
Czechoslovakia,Fourth,0
Hungary,Fourth,0
Sweden,Fourth,1
Poland,Fourth,0
Austria,Fourth,1
Portugal,Fourth,1
Chile,Fourth,0
Croatia,Fourth,0
Turkey,Fourth,0
USA,Fourth,0
Yugoslavia,Fourth,2
Belgium,Fourth,1
Bulgaria,Fourth,1
Korea Republic,Fourth,1
Soviet Union,Fourth,1
