Year,Host,Match,Datetime,Stage,City,Home_Team,Home Team Goals,Away Team Goals,Total Goals,Away _Team,Attendance,Home Team Initials,Away Team Initials
1930,Uruguay,1,13 Jul 1930 - 15:00 ,Group,Montevideo ,France,4,1,5,Mexico,4444,FRA,MEX
1930,Uruguay,2,13 Jul 1930 - 15:00 ,Group,Montevideo ,USA,3,0,3,Belgium,18346,USA,BEL
1930,Uruguay,3,14 Jul 1930 - 12:45 ,Group,Montevideo ,Yugoslavia,2,1,3,Brazil,24059,YUG,BRA
1930,Uruguay,4,14 Jul 1930 - 14:50 ,Group,Montevideo ,Romania,3,1,4,Peru,2549,ROU,PER
1930,Uruguay,5,15 Jul 1930 - 16:00 ,Group,Montevideo ,Argentina,1,0,1,France,23409,ARG,FRA
1930,Uruguay,6,16 Jul 1930 - 14:45 ,Group,Montevideo ,Chile,3,0,3,Mexico,9249,CHI,MEX
1930,Uruguay,7,17 Jul 1930 - 12:45 ,Group,Montevideo ,Yugoslavia,4,0,4,Bolivia,18306,YUG,BOL
1930,Uruguay,8,17 Jul 1930 - 14:45 ,Group,Montevideo ,USA,3,0,3,Paraguay,18306,USA,PAR
1930,Uruguay,9,18 Jul 1930 - 14:30 ,Group,Montevideo ,Uruguay,1,0,1,Peru,57735,URU,PER
1930,Uruguay,10,19 Jul 1930 - 12:50 ,Group,Montevideo ,Chile,1,0,1,France,2000,CHI,FRA
1930,Uruguay,11,19 Jul 1930 - 15:00 ,Group,Montevideo ,Argentina,6,3,9,Mexico,42100,ARG,MEX
1930,Uruguay,12,20 Jul 1930 - 13:00 ,Group,Montevideo ,Brazil,4,0,4,Bolivia,25466,BRA,BOL
1930,Uruguay,13,20 Jul 1930 - 15:00 ,Group,Montevideo ,Paraguay,1,0,1,Belgium,12000,PAR,BEL
1930,Uruguay,14,21 Jul 1930 - 14:50 ,Group,Montevideo ,Uruguay,4,0,4,Romania,70022,URU,ROU
1930,Uruguay,15,22 Jul 1930 - 14:45 ,Group,Montevideo ,Argentina,3,1,4,Chile,41459,ARG,CHI
1930,Uruguay,16,26 Jul 1930 - 14:45 ,Semi-finals,Montevideo ,Argentina,6,1,7,USA,72886,ARG,USA
1930,Uruguay,17,27 Jul 1930 - 14:45 ,Semi-finals,Montevideo ,Uruguay,6,1,7,Yugoslavia,79867,URU,YUG
1930,Uruguay,18,30 Jul 1930 - 14:15 ,Final,Montevideo ,Uruguay,4,2,6,Argentina,68346,URU,ARG
1934,Italy,1,27 May 1934 - 16:30 ,Preliminary round,Turin ,Austria,3,2,5,France,16000,AUT,FRA
1934,Italy,2,27 May 1934 - 16:30 ,Preliminary round,Naples ,Hungary,4,2,6,Egypt,9000,HUN,EGY
1934,Italy,3,27 May 1934 - 16:30 ,Preliminary round,Milan ,Switzerland,3,2,5,Netherlands,33000,SUI,NED
1934,Italy,4,27 May 1934 - 16:30 ,Preliminary round,Bologna ,Sweden,3,2,5,Argentina,14000,SWE,ARG
1934,Italy,5,27 May 1934 - 16:30 ,Preliminary round,Florence ,Germany,5,2,7,Belgium,8000,GER,BEL
1934,Italy,6,27 May 1934 - 16:30 ,Preliminary round,Genoa ,Spain,3,1,4,Brazil,21000,ESP,BRA
1934,Italy,7,27 May 1934 - 16:30 ,Preliminary round,Rome ,Italy,7,1,8,USA,25000,ITA,USA
1934,Italy,8,27 May 1934 - 16:30 ,Preliminary round,Trieste ,Czechoslovakia,2,1,3,Romania,9000,TCH,ROU
1934,Italy,9,31 May 1934 - 16:30 ,Quarter-finals,Turin ,Czechoslovakia,3,2,5,Switzerland,12000,TCH,SUI
1934,Italy,10,31 May 1934 - 16:30 ,Quarter-finals,Milan ,Germany,2,1,3,Sweden,3000,GER,SWE
1934,Italy,11,31 May 1934 - 16:30 ,Quarter-finals,Florence ,Italy,1,1,2,Spain,35000,ITA,ESP
1934,Italy,12,31 May 1934 - 16:30 ,Quarter-finals,Bologna ,Austria,2,1,3,Hungary,23000,AUT,HUN
1934,Italy,13,01 Jun 1934 - 16:30 ,Quarter-finals,Florence ,Italy,1,0,1,Spain,43000,ITA,ESP
