Country,Category,Number,Winners
Brazil,Winner,5,5
Germany,Winner,4,4
Italy,Winner,4,4
Argentina,Winner,2,2
Uruguay,Winner,2,2
France,Winner,1,1
England,Winner,1,1
Spain,Winner,1,1
Netherlands,Winner,0,0
Czechoslovakia,Winner,0,0
Hungary,Winner,0,0
Sweden,Winner,0,0
Poland,Winner,0,0
Austria,Winner,0,0
Portugal,Winner,0,0
Chile,Winner,0,0
Croatia,Winner,0,0
Turkey,Winner,0,0
USA,Winner,0,0
Yugoslavia,Winner,0,0
Belgium,Winner,0,0
Bulgaria,Winner,0,0
Korea Republic,Winner,0,0
Soviet Union,Winner,0,0
Brazil,Runners-Up,2,0
Germany,Runners-Up,4,0
Italy,Runners-Up,2,0
Argentina,Runners-Up,3,0
Uruguay,Runners-Up,0,0
France,Runners-Up,1,0
England,Runners-Up,0,0
Spain,Runners-Up,0,0
Netherlands,Runners-Up,3,0
Czechoslovakia,Runners-Up,2,0
Hungary,Runners-Up,2,0
Sweden,Runners-Up,1,0
Poland,Runners-Up,0,0
Austria,Runners-Up,0,0
Portugal,Runners-Up,0,0
Chile,Runners-Up,0,0
Croatia,Runners-Up,0,0
Turkey,Runners-Up,0,0
USA,Runners-Up,0,0
Yugoslavia,Runners-Up,0,0
Belgium,Runners-Up,0,0
Bulgaria,Runners-Up,0,0
Korea Republic,Runners-Up,0,0
Soviet Union,Runners-Up,0,0
Brazil,Third,2,0
Germany,Third,4,0
Italy,Third,1,0
Argentina,Third,0,0
Uruguay,Third,0,0
France,Third,2,0
England,Third,0,0
Spain,Third,0,0
Netherlands,Third,1,0
Czechoslovakia,Third,0,0
Hungary,Third,0,0
Sweden,Third,2,0
Poland,Third,2,0
Austria,Third,1,0
Portugal,Third,1,0
Chile,Third,1,0
Croatia,Third,1,0
Turkey,Third,1,0
USA,Third,1,0
Yugoslavia,Third,0,0
Belgium,Third,0,0
Bulgaria,Third,0,0
Korea Republic,Third,0,0
Soviet Union,Third,0,0
Brazil,Fourth,2,0
Germany,Fourth,1,0
Italy,Fourth,1,0
Argentina,Fourth,0,0
Uruguay,Fourth,3,0
France,Fourth,1,0
England,Fourth,1,0
Spain,Fourth,1,0
Netherlands,Fourth,1,0
Czechoslovakia,Fourth,0,0
Hungary,Fourth,0,0
Sweden,Fourth,1,0
Poland,Fourth,0,0
Austria,Fourth,1,0
Portugal,Fourth,1,0
Chile,Fourth,0,0
Croatia,Fourth,0,0
Turkey,Fourth,0,0
USA,Fourth,0,0
Yugoslavia,Fourth,2,0
Belgium,Fourth,1,0
Bulgaria,Fourth,1,0
Korea Republic,Fourth,1,0
Soviet Union,Fourth,1,0
