Year,Host,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance,Trial
1930,Uruguay,Uruguay,Argentina,United States of America,Yugoslavia,70,13,18,590549,591
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363000,363
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375700,376
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1045246,1045
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,768607,769
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819810,820
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893172,893
1966,United Kingdom,United Kingdom,Germany FR,Portugal,Soviet Union,89,16,32,1563135,1563
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1603975,1604
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1865753,1866
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1545791,1546
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2109723,2110
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2394031,2394
1990,Italy,Germany FR,Argentina,Italy,United Kingdom,115,24,52,2516215,2516
1994,United States of America,Brazil,Italy,Sweden,Bulgaria,141,24,52,3587538,3588
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2785100,2785
2002,Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2705197,2705
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3359439,3359
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3178856,3179
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3386810,3387
2018,Russia,France,Croatia,Belgium,United Kingdom,169,32,64,3031768,3387
