Host,Match,Total Goals,Attendance
Uruguay,1,5,4444
Uruguay,2,3,18346
Uruguay,3,3,24059
Uruguay,4,4,2549
Uruguay,5,1,23409
Uruguay,6,3,9249
Uruguay,7,4,18306
Uruguay,8,3,18306
Uruguay,9,1,57735
Uruguay,10,1,2000
Uruguay,11,9,42100
Uruguay,12,4,25466
Uruguay,13,1,12000
Uruguay,14,4,70022
Uruguay,15,4,41459
Uruguay,16,7,72886
Uruguay,17,7,79867
Uruguay,18,6,68346
Italy,1,5,16000
Italy,2,6,9000
Italy,3,5,33000
Italy,4,5,14000
Italy,5,7,8000
Italy,6,4,21000
Italy,7,8,25000
Italy,8,3,9000
Italy,9,5,12000
Italy,10,3,3000
Italy,11,2,35000
Italy,12,3,23000
Italy,13,1,43000
Italy,14,1,35000
Italy,15,4,15000
Italy,16,5,7000
Italy,17,3,55000
France,1,2,27152
France,2,6,9000
France,3,4,30454
France,4,6,7000
France,5,3,19000
France,6,11,13452
France,7,3,11000
France,8,3,8000
France,9,6,20025
France,10,2,22021
France,11,2,15000
France,12,8,7000
France,13,4,58455
France,14,3,18141
France,15,6,20000
France,16,3,33000
France,17,6,12000
France,18,6,45000
Brazil,1,4,81649
Brazil,2,2,29703
Brazil,3,4,9511
Brazil,4,5,36502
Brazil,5,3,7336
Brazil,6,4,42032
Brazil,7,5,11078
Brazil,8,2,19790
Brazil,9,4,7903
Brazil,10,1,10151
Brazil,11,2,142429
Brazil,12,1,74462
Brazil,13,2,25811
Brazil,14,8,5284
Brazil,15,3,3580
Brazil,16,7,8501
Brazil,17,4,44802
Brazil,18,8,138886
Brazil,19,7,152772
Brazil,20,5,7987
Brazil,21,4,11227
Brazil,22,3,173850
Switzerland,1,2,20500
Switzerland,2,1,25000
Switzerland,3,5,13470
Switzerland,4,1,16000
Switzerland,5,5,28000
Switzerland,6,9,13000
Switzerland,7,8,14000
Switzerland,8,3,43000
Switzerland,9,7,34000
Switzerland,10,5,26000
Switzerland,11,5,19000
Switzerland,12,2,24637
Switzerland,13,11,56000
Switzerland,14,7,4000
Switzerland,15,2,43500
Switzerland,16,5,24000
Switzerland,17,9,17000
Switzerland,18,5,30000
Switzerland,19,6,28000
Switzerland,20,12,35000
Switzerland,21,2,17000
Switzerland,22,6,40000
Switzerland,23,7,58000
Switzerland,24,6,45000
Switzerland,25,4,32000
Switzerland,26,5,62500
Sweden,1,3,34107
Sweden,2,4,49348
Sweden,3,4,31156
Sweden,4,2,15343
Sweden,5,10,16518
Sweden,6,2,9591
Sweden,7,3,17788
Sweden,8,1,10647
Sweden,9,0,40895
Sweden,10,2,15150
Sweden,11,5,11665
Sweden,12,5,12217
Sweden,13,2,21239
Sweden,14,4,25000
Sweden,15,4,14174
Sweden,16,3,38850
Sweden,17,0,30287
Sweden,18,2,50928
Sweden,19,4,21990
Sweden,20,4,13300
Sweden,21,6,13103
Sweden,22,3,13554
Sweden,23,4,15872
Sweden,24,7,16418
Sweden,25,1,23182
Sweden,26,3,6196
Sweden,27,3,2823
Sweden,28,1,25923
Sweden,29,1,20055
Sweden,30,2,31900
Sweden,31,4,11800
Sweden,32,4,49471
Sweden,33,7,27100
Sweden,34,9,32483
Sweden,35,7,49737
Chile,1,3,7908
Chile,2,2,10484
Chile,3,1,7134
Chile,4,4,65006
Chile,5,2,9622
Chile,6,1,12700
Chile,7,3,7938
Chile,8,0,65440
Chile,9,4,8829
Chile,10,0,14903
Chile,11,4,9794
Chile,12,2,66057
Chile,13,8,8040
Chile,14,1,11875
Chile,15,7,7442
Chile,16,3,64922
Chile,17,3,9973
Chile,18,3,18715
Chile,19,0,7945
Chile,20,2,67224
Chile,21,5,7167
Chile,22,4,10648
Chile,23,0,5700
Chile,24,3,59828
Chile,25,3,17268
Chile,26,4,17736
Chile,27,1,11690
Chile,28,1,63324
Chile,29,4,5890
Chile,30,6,76594
Chile,31,1,66697
Chile,32,4,68679
England,1,0,87148
England,2,5,36127
England,3,2,47308
England,4,3,23006
England,5,2,69237
England,6,4,29886
England,7,3,42738
England,8,2,27199
England,9,3,45662
England,10,3,32028
England,11,4,51387
England,12,2,13792
England,13,3,25438
England,14,0,46587
England,15,1,27793
England,16,2,92570
England,17,0,61112
England,18,2,32127
England,19,4,58479
England,20,1,17829
England,21,2,98270
England,22,4,24129
England,23,3,42187
England,24,3,16027
England,25,1,90584
England,26,4,40007
England,27,3,26844
England,28,8,40248
England,29,3,38273
England,30,3,94493
England,31,3,87696
England,32,6,96924
Mexico,1,0,107160
Mexico,2,2,20654
Mexico,3,5,13765
Mexico,4,1,50560
Mexico,5,1,13433
Mexico,6,3,12942
Mexico,7,5,52897
Mexico,8,3,92205
Mexico,9,0,29968
Mexico,10,3,13537
Mexico,11,3,56818
Mexico,12,5,95261
Mexico,13,2,9624
Mexico,14,7,12710
Mexico,15,1,66843
Mexico,16,4,103058
Mexico,17,1,18163
Mexico,18,4,17875
Mexico,19,5,50804
Mexico,20,2,89979
Mexico,21,0,9890
Mexico,22,2,12299
Mexico,23,1,49292
Mexico,24,1,108192
Mexico,25,5,26851
Mexico,26,5,23357
Mexico,27,6,54233
Mexico,28,1,26085
Mexico,29,4,51261
Mexico,30,7,102444
Mexico,31,1,104403
Mexico,32,5,107412
Germany,1,0,62000
Germany,2,1,81100
Germany,3,2,17000
Germany,4,2,27000
Germany,5,2,55100
Germany,6,0,23800
Germany,7,4,53000
Germany,8,5,32700
Germany,9,3,53300
Germany,10,0,62000
Germany,11,2,28300
Germany,12,9,31700
Germany,13,0,53700
Germany,14,2,13400
Germany,15,7,25300
Germany,16,2,70100
Germany,17,2,56000
Germany,18,0,17400
Germany,19,3,36200
Germany,20,1,60200
Germany,21,5,53300
Germany,22,5,25900
Germany,23,3,28300
Germany,24,3,70100
Germany,25,2,67385
Germany,26,1,59863
Germany,27,4,56548
Germany,28,1,44955
Germany,29,3,39400
Germany,30,3,58000
Germany,31,2,68348
Germany,32,6,67800
Germany,33,1,62000
Germany,34,2,53700
Germany,35,2,54254
Germany,36,3,41300
Germany,37,1,77100
Germany,38,3,78200
Argentina,1,0,67579
Argentina,2,3,42373
Argentina,3,4,17396
Argentina,4,3,71615
Argentina,5,2,32569
Argentina,6,3,40841
Argentina,7,4,37927
Argentina,8,3,33431
