Year,Datetime,Stage,City,Home Team Name,Home Team Goals,Away Team Name,Away Team Goals
1930,13 Jul 1930 - 15:00 ,Group 1,Montevideo ,France,4,Mexico,1
1930,13 Jul 1930 - 15:00 ,Group 4,Montevideo ,USA,3,Belgium,0
1930,14 Jul 1930 - 12:45 ,Group 2,Montevideo ,Yugoslavia,2,Brazil,1
1930,14 Jul 1930 - 14:50 ,Group 3,Montevideo ,Romania,3,Peru,1
1930,15 Jul 1930 - 16:00 ,Group 1,Montevideo ,Argentina,1,France,0
1930,16 Jul 1930 - 14:45 ,Group 1,Montevideo ,Chile,3,Mexico,0
1930,17 Jul 1930 - 12:45 ,Group 2,Montevideo ,Yugoslavia,4,Bolivia,0
1930,17 Jul 1930 - 14:45 ,Group 4,Montevideo ,USA,3,Paraguay,0
1930,18 Jul 1930 - 14:30 ,Group 3,Montevideo ,Uruguay,1,Peru,0
1930,19 Jul 1930 - 12:50 ,Group 1,Montevideo ,Chile,1,France,0
1930,19 Jul 1930 - 15:00 ,Group 1,Montevideo ,Argentina,6,Mexico,3
1930,20 Jul 1930 - 13:00 ,Group 2,Montevideo ,Brazil,4,Bolivia,0
1930,20 Jul 1930 - 15:00 ,Group 4,Montevideo ,Paraguay,1,Belgium,0
1930,21 Jul 1930 - 14:50 ,Group 3,Montevideo ,Uruguay,4,Romania,0
1930,22 Jul 1930 - 14:45 ,Group 1,Montevideo ,Argentina,3,Chile,1
1930,26 Jul 1930 - 14:45 ,Semi-finals,Montevideo ,Argentina,6,USA,1
1930,27 Jul 1930 - 14:45 ,Semi-finals,Montevideo ,Uruguay,6,Yugoslavia,1
1930,30 Jul 1930 - 14:15 ,Final,Montevideo ,Uruguay,4,Argentina,2
1934,27 May 1934 - 16:30 ,Preliminary round,Turin ,Austria,3,France,2
1934,27 May 1934 - 16:30 ,Preliminary round,Naples ,Hungary,4,Egypt,2
1934,27 May 1934 - 16:30 ,Preliminary round,Milan ,Switzerland,3,Netherlands,2
1934,27 May 1934 - 16:30 ,Preliminary round,Bologna ,Sweden,3,Argentina,2
1934,27 May 1934 - 16:30 ,Preliminary round,Florence ,Germany,5,Belgium,2
1934,27 May 1934 - 16:30 ,Preliminary round,Genoa ,Spain,3,Brazil,1
1934,27 May 1934 - 16:30 ,Preliminary round,Rome ,Italy,7,USA,1
1934,27 May 1934 - 16:30 ,Preliminary round,Trieste ,Czechoslovakia,2,Romania,1
1934,31 May 1934 - 16:30 ,Quarter-finals,Turin ,Czechoslovakia,3,Switzerland,2
1934,31 May 1934 - 16:30 ,Quarter-finals,Milan ,Germany,2,Sweden,1
1934,31 May 1934 - 16:30 ,Quarter-finals,Florence ,Italy,1,Spain,1
1934,31 May 1934 - 16:30 ,Quarter-finals,Bologna ,Austria,2,Hungary,1
1934,01 Jun 1934 - 16:30 ,Quarter-finals,Florence ,Italy,1,Spain,0
1934,03 Jun 1934 - 16:30 ,Semi-finals,Milan ,Italy,1,Austria,0
1934,03 Jun 1934 - 16:30 ,Semi-finals,Rome ,Czechoslovakia,3,Germany,1
1934,07 Jun 1934 - 18:00 ,Match for third place,Naples ,Germany,3,Austria,2
1934,10 Jun 1934 - 17:30 ,Final,Rome ,Italy,2,Czechoslovakia,1
1938,04 Jun 1938 - 17:00 ,First round,Paris ,Switzerland,1,Germany,1
1938,05 Jun 1938 - 17:00 ,First round,Reims ,Hungary,6,Dutch East Indies,0
1938,05 Jun 1938 - 17:00 ,First round,Colombes ,France,3,Belgium,1
1938,05 Jun 1938 - 17:00 ,First round,Toulouse ,Cuba,3,Romania,3
1938,05 Jun 1938 - 17:00 ,First round,Marseilles ,Italy,2,Norway,1
1938,05 Jun 1938 - 17:30 ,First round,Strasbourg ,Brazil,6,Poland,5
1938,05 Jun 1938 - 18:30 ,First round,Le Havre ,Czechoslovakia,3,Netherlands,0
1938,09 Jun 1938 - 18:00 ,First round,Toulouse ,Cuba,2,Romania,1
